NUMERO_ED;École doctorale;Sigle de l'ED;NUMERO_DS;DOMAINE_SCIENTIFIQUE;ANNEE;ANNEE_UNIVERSITAIRE;RENTREE;ANNEE_SOUTENANCE;PREMIERS_INSCRITS;PREMIERS_INSCRITS_F;PREMIERS_INSCRITS_H;TOTAL_INSCRITS;TOTAL_INSCRITS_F;TOTAL_INSCRITS_H;NOMBRE_SOUTENANCES;NOMBRE_SOUTENANCES_F;NOMBRE_SOUTENANCES_H;MOINS_DE_40_MOIS;DE_40_A_52_MOIS;DE_52_A_72_MOIS;PLUS_DE_6_ANS;id_paysage_ED
34;École doctorale Matériaux;;2;Physique;2023;2022-23;2022;2022;9;3;6;39;16;23;16;6;10;8;7;1;0;1Iufh
40;École doctorale Sciences chimiques;EDSC;5;Biologie, médecine et santé;2023;2022-23;2022;2022;0;0;0;6;5;1;3;3;0;1;2;0;0;wde3D
47;École doctorale Physique;;5;Biologie, médecine et santé;2023;2022-23;2022;2022;1;0;1;1;0;1;0;0;0;0;0;0;0;8kNpd
62;École doctorale Sciences de la vie et de la santé;;7;Sciences de la société;2023;2022-23;2022;2022;1;1;0;2;2;0;0;0;0;0;0;0;0;vZzE7
71;École doctorale Sciences pour l'ingénieur;;4;Chimie;2023;2022-23;2022;2022;2;2;0;7;4;3;1;0;1;0;1;0;0;H6UYp
73;École doctorale Sciences économiques, sociales, de l'aménagement et du management;SESAM;7;Sciences de la société;2023;2022-23;2022;2022;29;14;15;151;68;83;22;10;12;4;3;8;7;IQ0Hk
74;École doctorale Sciences juridiques, politique et de gestion;SJPG;7;Sciences de la société;2023;2022-23;2022;2022;45;17;28;255;127;128;24;15;9;0;3;7;14;3A2RY
77;École doctorale Informatique, automatique, électronique, électrotechnique, mathématiques;IAEM;1;Mathématiques et leurs interactions;2023;2022-23;2022;2022;8;0;8;37;6;31;16;0;16;10;4;2;0;TCHTA
77;École doctorale Informatique, automatique, électronique, électrotechnique, mathématiques;IAEM;8;Sciences pour l'ingénieur;2023;2022-23;2022;2022;8;1;7;29;6;23;9;1;8;4;5;0;0;TCHTA
79;École doctorale Sciences juridiques, politiques, économiques et de gestion;SJPEG;7;Sciences de la société;2023;2022-23;2022;2022;34;16;18;197;95;102;17;10;7;0;5;6;6;ea4x6
86;École doctorale Sociétés, humanités, arts, lettres;LSHS;6;Sciences humaines et humanités;2023;2022-23;2022;2022;63;40;23;285;181;104;37;19;18;7;10;10;10;O8E6y
98;École doctorale Droit-Normandie;EDDN;7;Sciences de la société;2023;2022-23;2022;2022;15;8;7;108;45;63;10;5;5;1;1;4;4;9fYyW
101;École doctorale de Sciences juridiques;;7;Sciences de la société;2023;2022-23;2022;2022;21;9;12;172;78;94;17;8;9;0;1;6;10;569G2
104;École doctorale Sciences de la matière, du rayonnement et de l'environnement;SMRE;3;Sciences de la terre et de l'univers, espace;2023;2022-23;2022;2022;10;5;5;38;19;19;13;7;6;6;6;1;0;Q5iFz
104;École doctorale Sciences de la matière, du rayonnement et de l'environnement;SMRE;4;Chimie;2023;2022-23;2022;2022;49;20;29;193;81;112;50;23;27;22;23;4;1;Q5iFz
104;École doctorale Sciences de la matière, du rayonnement et de l'environnement;SMRE;5;Biologie, médecine et santé;2023;2022-23;2022;2022;3;1;2;7;4;3;0;0;0;0;0;0;0;Q5iFz
104;École doctorale Sciences de la matière, du rayonnement et de l'environnement;SMRE;8;Sciences pour l'ingénieur;2023;2022-23;2022;2022;7;4;3;23;7;16;5;1;4;4;1;0;0;Q5iFz
119;École doctorale Science politique;;7;Sciences de la société;2023;2022-23;2022;2022;14;9;5;84;45;39;11;6;5;3;0;3;5;eyibb
127;École doctorale Astronomie et astrophysique d'Ile de France;A&A;3;Sciences de la terre et de l'univers, espace;2023;2022-23;2022;2022;58;22;36;187;64;123;41;9;32;33;8;0;0;cPXrq
129;École doctorale Sciences de l'environnement d'Ile de France;SEIF;3;Sciences de la terre et de l'univers, espace;2023;2022-23;2022;2022;63;23;40;219;105;114;42;24;18;11;28;2;1;TnAPh
129;École doctorale Sciences de l'environnement d'Ile de France;SEIF;4;Chimie;2023;2022-23;2022;2022;0;0;0;1;1;0;0;0;0;0;0;0;0;TnAPh
131;École doctorale Langue, littérature, image, civilisations et sciences humaines (domaines francophone et anglophone);LLI;6;Sciences humaines et humanités;2023;2022-23;2022;2022;25;16;9;151;103;48;15;11;4;1;4;4;6;a47aW
146;École doctorale Galilée;GALILEE;4;Chimie;2023;2022-23;2022;2022;0;0;0;5;5;0;1;0;1;1;0;0;0;71hqm
154;École doctorale Sciences de la vie et de la santé;SVS;5;Biologie, médecine et santé;2023;2022-23;2022;2022;114;76;38;418;254;164;97;61;36;33;59;5;0;hLn36
158;École doctorale Cerveau, cognition, comportement;3C;5;Biologie, médecine et santé;2023;2022-23;2022;2022;130;78;52;431;247;184;87;44;43;17;63;7;0;Il62F
166;École doctorale Information, structures et systèmes;I2S;2;Physique;2023;2022-23;2022;2022;20;3;17;65;15;50;16;5;11;9;7;0;0;2uO68
166;École doctorale Information, structures et systèmes;I2S;8;Sciences pour l'ingénieur;2023;2022-23;2022;2022;18;5;13;101;28;73;35;5;30;15;17;3;0;2uO68
173;École doctorale Sciences de l'univers, de l'environnement et de l'espace;SDU2E;1;Mathématiques et leurs interactions;2023;2022-23;2022;2022;0;0;0;2;0;2;0;0;0;0;0;0;0;R0Z9c
173;École doctorale Sciences de l'univers, de l'environnement et de l'espace;SDU2E;8;Sciences pour l'ingénieur;2023;2022-23;2022;2022;3;1;2;7;2;5;2;0;2;1;1;0;0;R0Z9c
173;École doctorale Sciences de l'univers, de l'environnement et de l'espace;SDU2E;9;Sciences et technologies de l'information et de la communication;2023;2022-23;2022;2022;0;0;0;7;0;7;0;0;0;0;0;0;0;R0Z9c
182;École doctorale Physique et chimie-physique;;2;Physique;2023;2022-23;2022;2022;45;14;31;148;45;103;42;13;29;23;19;0;0;3My6I
184;École doctorale Mathématiques et informatique de Marseille;;1;Mathématiques et leurs interactions;2023;2022-23;2022;2022;29;5;24;104;24;80;17;3;14;6;11;0;0;DDObG
205;École doctorale Interdisciplinaire Sciences-Santé;EDISS;5;Biologie, médecine et santé;2023;2022-23;2022;2022;52;32;20;253;164;89;59;36;23;30;24;5;0;69W38
205;École doctorale Interdisciplinaire Sciences-Santé;EDISS;6;Sciences humaines et humanités;2023;2022-23;2022;2022;5;1;4;15;4;11;3;1;2;2;0;1;0;69W38
205;École doctorale Interdisciplinaire Sciences-Santé;EDISS;8;Sciences pour l'ingénieur;2023;2022-23;2022;2022;1;1;0;2;2;0;0;0;0;0;0;0;0;69W38
211;École doctorale Sciences exactes et leurs applications;ED SEA;4;Chimie;2023;2022-23;2022;2022;19;5;14;93;44;49;33;13;20;22;10;1;0;1G1iC
216;École doctorale Ingénierie pour la santé, la cognition, l'environnement;EDISCE;9;Sciences et technologies de l'information et de la communication;2023;2022-23;2022;2022;1;0;1;1;0;1;0;0;0;0;0;0;0;fPs1t
220;École doctorale Électronique, électrotechnique, automatique, traitement du signal;EEATS;2;Physique;2023;2022-23;2022;2022;4;0;4;5;0;5;1;0;1;0;1;0;0;IxEaw
221;École doctorale Augustin Cournot - Sciences économiques et de gestion - Sciences, technologies et sociétés;EDAC;7;Sciences de la société;2023;2022-23;2022;2022;20;8;12;79;37;42;25;11;14;5;8;10;2;5z9rW
222;École doctorale Sciences chimiques;EDSC;4;Chimie;2023;2022-23;2022;2022;68;31;37;284;121;163;70;31;39;49;21;0;0;AdU8Q
222;École doctorale Sciences chimiques;EDSC;5;Biologie, médecine et santé;2023;2022-23;2022;2022;3;1;2;6;2;4;1;1;0;0;1;0;0;AdU8Q
222;École doctorale Sciences chimiques;EDSC;8;Sciences pour l'ingénieur;2023;2022-23;2022;2022;2;2;0;9;4;5;6;3;3;5;1;0;0;AdU8Q
262;École doctorale Sciences juridiques, politiques, économiques et de gestion;DEG;7;Sciences de la société;2023;2022-23;2022;2022;26;14;12;152;73;79;14;6;8;2;3;2;7;H7GyL
269;École doctorale Mathématiques, sciences de l'information et de l'ingénieur;MSII;1;Mathématiques et leurs interactions;2023;2022-23;2022;2022;12;1;11;43;7;36;10;1;9;7;3;0;0;5E625
286;École doctorale de l'Ehess;;7;Sciences de la société;2023;2022-23;2022;2022;139;70;69;855;457;398;106;68;38;9;8;34;55;2S146
304;École doctorale Sciences et environnements;;10;Sciences agronomiques et écologiques;2023;2022-23;2022;2022;13;10;3;52;29;23;15;7;8;5;10;0;0;2ywZn
305;École doctorale Énergie et environnement;E2;2;Physique;2023;2022-23;2022;2022;2;0;2;9;0;9;1;0;1;1;0;0;0;Kbt8I
305;École doctorale Énergie et environnement;E2;8;Sciences pour l'ingénieur;2023;2022-23;2022;2022;6;2;4;35;5;30;7;2;5;4;3;0;0;Kbt8I
309;École doctorale Systèmes;EDSYS;1;Mathématiques et leurs interactions;2023;2022-23;2022;2022;1;1;0;1;1;0;0;0;0;0;0;0;0;8TT4b
323;École doctorale Génie électrique, électronique et télécommunications;GEET;1;Mathématiques et leurs interactions;2023;2022-23;2022;2022;1;1;0;1;1;0;0;0;0;0;0;0;0;arcz6
323;École doctorale Génie électrique, électronique et télécommunications;GEET;8;Sciences pour l'ingénieur;2023;2022-23;2022;2022;51;13;38;168;32;136;44;13;31;15;20;7;2;arcz6
326;École doctorale Comportement, langage, éducation, socialisation, cognition;CLESCO;9;Sciences et technologies de l'information et de la communication;2023;2022-23;2022;2022;0;0;0;1;1;0;1;1;0;0;1;0;0;nWIlG
327;École doctorale Temps, espaces, sociétés, cultures;TESC;7;Sciences de la société;2023;2022-23;2022;2022;16;9;7;80;50;30;6;5;1;0;0;4;2;IjgiJ
327;École doctorale Temps, espaces, sociétés, cultures;TESC;10;Sciences agronomiques et écologiques;2023;2022-23;2022;2022;0;0;0;6;5;1;0;0;0;0;0;0;0;IjgiJ
328;École doctorale Arts, lettres, langues, philosophie et communication;ALLPH@;5;Biologie, médecine et santé;2023;2022-23;2022;2022;0;0;0;1;1;0;0;0;0;0;0;0;0;xLxMh
353;École doctorale Sciences pour l'ingénieur : mécanique, physique, micro et nanoélectronique;;8;Sciences pour l'ingénieur;2023;2022-23;2022;2022;43;9;34;186;42;144;47;8;39;22;24;1;0;vk5Kp
354;École doctorale Langues, lettres et arts;LLA;6;Sciences humaines et humanités;2023;2022-23;2022;2022;36;20;16;208;136;72;39;28;11;0;5;15;19;RwcSv
355;École doctorale Espaces, cultures, sociétés;;6;Sciences humaines et humanités;2023;2022-23;2022;2022;31;20;11;186;98;88;20;10;10;0;3;7;10;2kMf5
364;École doctorale Sciences fondamentales et appliquées;EDSFA;10;Sciences agronomiques et écologiques;2023;2022-23;2022;2022;2;1;1;8;4;4;0;0;0;0;0;0;0;E483q
377;École doctorale Environnement et société;;1;Mathématiques et leurs interactions;2023;2022-23;2022;2022;1;1;0;1;1;0;0;0;0;0;0;0;0;ZMG5u
377;École doctorale Environnement et société;;3;Sciences de la terre et de l'univers, espace;2023;2022-23;2022;2022;2;1;1;4;2;2;0;0;0;0;0;0;0;ZMG5u
377;École doctorale Environnement et société;;6;Sciences humaines et humanités;2023;2022-23;2022;2022;14;4;10;57;30;27;12;7;5;0;7;3;2;ZMG5u
386;École doctorale Sciences mathématiques de Paris centre;SMPC;1;Mathématiques et leurs interactions;2023;2022-23;2022;2022;112;25;87;476;99;377;120;26;94;55;52;12;1;wMj98
391;École doctorale Sciences mécaniques, acoustique et électronique et robotique de Paris;SMAER;8;Sciences pour l'ingénieur;2023;2022-23;2022;2022;39;10;29;177;49;128;58;13;45;24;32;2;0;k0eue
394;École doctorale Physiologie et physiopathologie;p2t;5;Biologie, médecine et santé;2023;2022-23;2022;2022;58;34;24;230;140;90;62;39;23;24;32;6;0;VMYmT
398;École doctorale Géosciences, ressources naturelles et environnement;GRNE;9;Sciences et technologies de l'information et de la communication;2023;2022-23;2022;2022;0;0;0;1;0;1;0;0;0;0;0;0;0;Zi4Zf
413;École doctorale Sciences de la terre et de l'environnement;STE;5;Biologie, médecine et santé;2023;2022-23;2022;2022;0;0;0;1;0;1;0;0;0;0;0;0;0;u9BA9
413;École doctorale Sciences de la terre et de l'environnement;STE;6;Sciences humaines et humanités;2023;2022-23;2022;2022;2;2;0;14;4;10;1;1;0;0;1;0;0;u9BA9
414;École doctorale Sciences de la vie et de la santé;;2;Physique;2023;2022-23;2022;2022;1;1;0;7;4;3;0;0;0;0;0;0;0;YI4xS
414;École doctorale Sciences de la vie et de la santé;;6;Sciences humaines et humanités;2023;2022-23;2022;2022;0;0;0;2;2;0;4;1;3;3;0;1;0;YI4xS
432;École doctorale Sciences des métiers de l'ingénieur;SMI;8;Sciences pour l'ingénieur;2023;2022-23;2022;2022;145;39;106;437;129;308;83;28;55;40;32;10;1;nSsHB
455;École doctorale Économie, Gestion, Information et Communication;EGIC;6;Sciences humaines et humanités;2023;2022-23;2022;2022;7;3;4;47;25;22;9;5;4;2;2;3;2;qCOg3
459;École doctorale Sciences chimiques Balard;;4;Chimie;2023;2022-23;2022;2022;75;35;40;247;118;129;72;43;29;50;20;2;0;YFs2W
461;École doctorale Droit et science politique;;7;Sciences de la société;2023;2022-23;2022;2022;30;17;13;213;114;99;25;12;13;1;3;8;13;QGArN
463;École doctorale Sciences du mouvement humain;SMH;6;Sciences humaines et humanités;2023;2022-23;2022;2022;3;3;0;15;10;5;1;1;0;0;1;0;0;UbtlY
467;École doctorale Aéronautique, astronautique;AA;9;Sciences et technologies de l'information et de la communication;2023;2022-23;2022;2022;0;0;0;10;4;6;2;0;2;1;1;0;0;U7l45
469;École doctorale du Pacifique;EDP;6;Sciences humaines et humanités;2023;2022-23;2022;2022;10;5;5;31;16;15;0;0;0;0;0;0;0;t9Z2n
472;École doctorale de l'EPHE;;7;Sciences de la société;2023;2022-23;2022;2022;7;2;5;33;16;17;7;5;2;0;1;2;4;27zK4
475;École doctorale Mathématiques, informatique, télécommunications de Toulouse;MITT;1;Mathématiques et leurs interactions;2023;2022-23;2022;2022;29;2;27;147;21;126;40;10;30;25;10;4;1;xcp2r
476;École doctorale Neurosciences et cognition;NSCO;5;Biologie, médecine et santé;2023;2022-23;2022;2022;32;20;12;153;94;59;39;26;13;10;21;6;2;B1H0x
480;École doctorale Montaigne-humanités;;2;Physique;2023;2022-23;2022;2022;2;0;2;10;4;6;3;2;1;0;3;0;0;f3SeZ
480;École doctorale Montaigne-humanités;;6;Sciences humaines et humanités;2023;2022-23;2022;2022;87;49;38;530;288;242;66;36;30;5;8;26;27;f3SeZ
483;École doctorale Histoire, géographie, aménagement, urbanisme, archéologie, science politique, sociologie, anthropologie;SCSO;6;Sciences humaines et humanités;2023;2022-23;2022;2022;56;27;29;335;189;146;47;24;23;6;7;14;20;hc6u4
485;École doctorale Éducation, Psychologie, Information et Communication;EPIC;9;Sciences et technologies de l'information et de la communication;2023;2022-23;2022;2022;0;0;0;4;1;3;0;0;0;0;0;0;0;O82eL
486;École doctorale Sciences économiques et de gestion;SEG;7;Sciences de la société;2023;2022-23;2022;2022;26;15;11;151;78;73;24;12;12;3;11;4;6;h1GZ3
488;École doctorale Sciences, ingénierie, santé;SIS;5;Biologie, médecine et santé;2023;2022-23;2022;2022;27;13;14;103;51;52;14;8;6;9;4;1;0;Fy2lK
488;École doctorale Sciences, ingénierie, santé;SIS;8;Sciences pour l'ingénieur;2023;2022-23;2022;2022;25;11;14;124;44;80;28;7;21;11;15;2;0;Fy2lK
497;École doctorale Normande de Biologie Intégrative, Santé, Environnement;Ed NBISE;5;Biologie, médecine et santé;2023;2022-23;2022;2022;62;40;22;284;168;116;63;30;33;25;31;4;3;0D9Je
509;École doctorale Civilisations et sociétés euro-méditerranéennes et comparées;;7;Sciences de la société;2023;2022-23;2022;2022;19;6;13;116;49;67;15;5;10;1;2;6;6;9tbyG
513;École doctorale Droit et sciences politiques, économiques et de gestion;DESPEG;7;Sciences de la société;2023;2022-23;2022;2022;43;22;21;222;101;121;50;26;24;7;15;15;13;aVHGU
515;École doctorale Complexité du vivant;CdV;5;Biologie, médecine et santé;2023;2022-23;2022;2022;70;39;31;309;177;132;70;39;31;20;49;1;0;CbV9s
515;École doctorale Complexité du vivant;CdV;10;Sciences agronomiques et écologiques;2023;2022-23;2022;2022;0;0;0;1;1;0;0;0;0;0;0;0;0;CbV9s
528;École doctorale Ville, transports et territoires;VTT;6;Sciences humaines et humanités;2023;2022-23;2022;2022;18;13;5;118;72;46;20;17;3;1;6;9;4;68zCc
528;École doctorale Ville, transports et territoires;VTT;8;Sciences pour l'ingénieur;2023;2022-23;2022;2022;3;2;1;16;6;10;5;1;4;3;1;1;0;68zCc
530;École doctorale Organisations, marchés, institutions;OMI;6;Sciences humaines et humanités;2023;2022-23;2022;2022;27;14;13;149;68;81;12;1;11;3;2;3;4;4htv7
530;École doctorale Organisations, marchés, institutions;OMI;9;Sciences et technologies de l'information et de la communication;2023;2022-23;2022;2022;1;1;0;7;6;1;1;1;0;1;0;0;0;4htv7
531;École doctorale Sciences, ingénierie et environnement;SIE;4;Chimie;2023;2022-23;2022;2022;7;4;3;33;21;12;16;10;6;7;8;1;0;b5BYq
531;École doctorale Sciences, ingénierie et environnement;SIE;8;Sciences pour l'ingénieur;2023;2022-23;2022;2022;64;19;45;168;44;124;47;14;33;23;21;3;0;b5BYq
536;École doctorale Sciences et agrosciences;;3;Sciences de la terre et de l'univers, espace;2023;2022-23;2022;2022;3;2;1;9;6;3;0;0;0;0;0;0;0;pHfqe
536;École doctorale Sciences et agrosciences;;4;Chimie;2023;2022-23;2022;2022;5;3;2;12;7;5;4;3;1;2;2;0;0;pHfqe
536;École doctorale Sciences et agrosciences;;5;Biologie, médecine et santé;2023;2022-23;2022;2022;7;5;2;20;10;10;5;3;2;4;1;0;0;pHfqe
536;École doctorale Sciences et agrosciences;;9;Sciences et technologies de l'information et de la communication;2023;2022-23;2022;2022;6;1;5;38;10;28;7;0;7;2;4;1;0;pHfqe
540;"École doctorale École transdisciplinaire ""lettres/sciences""";;5;Biologie, médecine et santé;2023;2022-23;2022;2022;1;1;0;4;3;1;1;0;1;0;0;1;0;tWWw7
541;École doctorale de sciences humaines et sociales de La Réunion;SHS;6;Sciences humaines et humanités;2023;2022-23;2022;2022;12;9;3;93;60;33;12;7;5;0;3;4;5;21SpE
541;École doctorale de sciences humaines et sociales de La Réunion;SHS;9;Sciences et technologies de l'information et de la communication;2023;2022-23;2022;2022;3;2;1;6;3;3;0;0;0;0;0;0;0;21SpE
541;École doctorale de sciences humaines et sociales de La Réunion;SHS;10;Sciences agronomiques et écologiques;2023;2022-23;2022;2022;0;0;0;1;0;1;0;0;0;0;0;0;0;21SpE
542;École doctorale de sciences de La Réunion;STS;2;Physique;2023;2022-23;2022;2022;4;2;2;20;9;11;5;2;3;2;1;1;1;2pAql
543;École doctorale de Dauphine;;7;Sciences de la société;2023;2022-23;2022;2022;57;24;33;274;127;147;59;26;33;6;29;17;7;u8w6A
548;École doctorale Mer et Sciences;;5;Biologie, médecine et santé;2023;2022-23;2022;2022;3;2;1;11;7;4;0;0;0;0;0;0;0;QX0fS
548;École doctorale Mer et Sciences;;9;Sciences et technologies de l'information et de la communication;2023;2022-23;2022;2022;11;3;8;24;7;17;6;1;5;3;3;0;0;QX0fS
553;École doctorale Carnot - Pasteur;;1;Mathématiques et leurs interactions;2023;2022-23;2022;2022;10;1;9;54;12;42;15;3;12;7;5;3;0;6h4Z7
553;École doctorale Carnot - Pasteur;;2;Physique;2023;2022-23;2022;2022;7;1;6;37;12;25;11;2;9;2;6;2;1;6h4Z7
554;École doctorale Environnements - Santé;E-S;5;Biologie, médecine et santé;2023;2022-23;2022;2022;63;35;28;283;151;132;54;32;22;22;27;4;1;ElyFU
558;École doctorale Histoire, Mémoire, Patrimoine, Langage;HMPL;6;Sciences humaines et humanités;2023;2022-23;2022;2022;61;39;22;327;178;149;33;18;15;3;4;13;13;uX3jT
558;École doctorale Histoire, Mémoire, Patrimoine, Langage;HMPL;7;Sciences de la société;2023;2022-23;2022;2022;3;1;2;4;1;3;0;0;0;0;0;0;0;uX3jT
560;École doctorale Sciences de la terre et de l'environnement et Physique de l'univers, Paris;STEP'UP;3;Sciences de la terre et de l'univers, espace;2023;2022-23;2022;2022;40;15;25;157;64;93;41;19;22;19;20;2;0;Z2VI9
565;École doctorale Droit de la Sorbonne;DS;7;Sciences de la société;2023;2022-23;2022;2022;87;50;37;603;314;289;62;23;39;2;8;19;33;aXJ7L
566;École doctorale Sciences du Sport, de la Motricité et du Mouvement Humain;SMMH;5;Biologie, médecine et santé;2023;2022-23;2022;2022;10;8;2;56;27;29;14;4;10;5;6;3;0;3iv8y
569;École doctorale Innovation thérapeutique : du fondamental à l'appliqué;;4;Chimie;2023;2022-23;2022;2022;12;4;8;34;16;18;11;4;7;7;4;0;0;jx8ET
570;École doctorale Santé Publique;EDSP;5;Biologie, médecine et santé;2023;2022-23;2022;2022;31;20;11;151;97;54;30;18;12;11;14;5;0;9lgE4
572;École doctorale Ondes et matière;EDOM;2;Physique;2023;2022-23;2022;2022;49;10;39;194;49;145;42;9;33;17;20;4;1;etSIi
573;École doctorale Interfaces : Approches Interdisciplinaires, Fondements, Applications et Innovation;ED INTERFACES;4;Chimie;2023;2022-23;2022;2022;2;1;1;11;6;5;4;3;1;3;1;0;0;gG820
573;École doctorale Interfaces : Approches Interdisciplinaires, Fondements, Applications et Innovation;ED INTERFACES;5;Biologie, médecine et santé;2023;2022-23;2022;2022;0;0;0;8;2;6;8;4;4;3;4;1;0;gG820
573;École doctorale Interfaces : Approches Interdisciplinaires, Fondements, Applications et Innovation;ED INTERFACES;7;Sciences de la société;2023;2022-23;2022;2022;2;0;2;4;2;2;0;0;0;0;0;0;0;gG820
574;École doctorale de Mathématiques Hadamard;EDMH;1;Mathématiques et leurs interactions;2023;2022-23;2022;2022;103;19;84;349;66;283;95;18;77;62;26;6;1;4pqal
575;École doctorale Electrical, Optical, Bio : Physics and Engineering;EOBE;1;Mathématiques et leurs interactions;2023;2022-23;2022;2022;0;0;0;2;0;2;0;0;0;0;0;0;0;dfhyn
575;École doctorale Electrical, Optical, Bio : Physics and Engineering;EOBE;9;Sciences et technologies de l'information et de la communication;2023;2022-23;2022;2022;3;2;1;16;3;13;5;3;2;2;3;0;0;dfhyn
577;École doctorale Structure et dynamique des systèmes vivants;SDSV;4;Chimie;2023;2022-23;2022;2022;0;0;0;2;1;1;0;0;0;0;0;0;0;4bsxJ
577;École doctorale Structure et dynamique des systèmes vivants;SDSV;5;Biologie, médecine et santé;2023;2022-23;2022;2022;64;41;23;247;149;98;43;22;21;9;31;3;0;4bsxJ
581;École doctorale Agriculture, alimentation, biologie, environnement, santé;ABIES;3;Sciences de la terre et de l'univers, espace;2023;2022-23;2022;2022;0;0;0;1;0;1;0;0;0;0;0;0;0;c1x56
581;École doctorale Agriculture, alimentation, biologie, environnement, santé;ABIES;10;Sciences agronomiques et écologiques;2023;2022-23;2022;2022;31;19;12;117;59;58;28;19;9;11;14;3;0;c1x56
582;École doctorale Cancérologie, Biologie, Médecine, Santé;CBMS;2;Physique;2023;2022-23;2022;2022;0;0;0;1;1;0;0;0;0;0;0;0;0;75bj4
583;École doctorale Risques et Société;;3;Sciences de la terre et de l'univers, espace;2023;2022-23;2022;2022;2;1;1;5;2;3;0;0;0;0;0;0;0;wUBi9
583;École doctorale Risques et Société;;5;Biologie, médecine et santé;2023;2022-23;2022;2022;2;1;1;6;4;2;1;1;0;0;1;0;0;wUBi9
583;École doctorale Risques et Société;;8;Sciences pour l'ingénieur;2023;2022-23;2022;2022;1;0;1;3;0;3;1;0;1;1;0;0;0;wUBi9
585;École doctorale Sciences, Technologie,  Sante;EDSTS;2;Physique;2023;2022-23;2022;2022;10;1;9;39;17;22;7;3;4;4;3;0;0;NM3Dl
585;École doctorale Sciences, Technologie,  Sante;EDSTS;8;Sciences pour l'ingénieur;2023;2022-23;2022;2022;20;8;12;55;23;32;18;9;9;8;6;4;0;NM3Dl
587;École doctorale Diversites, santé et développement en Amazonie;;5;Biologie, médecine et santé;2023;2022-23;2022;2022;4;1;3;19;10;9;1;1;0;0;0;0;1;V14tj
587;École doctorale Diversites, santé et développement en Amazonie;;8;Sciences pour l'ingénieur;2023;2022-23;2022;2022;1;1;0;5;2;3;0;0;0;0;0;0;0;V14tj
587;École doctorale Diversites, santé et développement en Amazonie;;9;Sciences et technologies de l'information et de la communication;2023;2022-23;2022;2022;0;0;0;1;0;1;0;0;0;0;0;0;0;V14tj
591;École doctorale Physique, Sciences de l'Ingenieur, Materiaux, Énergie;PSIME;4;Chimie;2023;2022-23;2022;2022;22;8;14;73;24;49;15;7;8;8;7;0;0;Hn5Om
594;École doctorale Sociétés, Espaces, Pratiques, Temps;ED SEPT;6;Sciences humaines et humanités;2023;2022-23;2022;2022;44;24;20;257;131;126;37;20;17;3;8;14;12;N85H3
596;École doctorale Matière, Molécules et Matériaux;ED 3M;2;Physique;2023;2022-23;2022;2022;30;8;22;90;29;61;23;9;14;15;7;1;0;77947
598;École doctorale Sciences de La Mer et du Littoral;SML;3;Sciences de la terre et de l'univers, espace;2023;2022-23;2022;2022;15;10;5;74;42;32;14;6;8;6;7;0;1;Smen6
598;École doctorale Sciences de La Mer et du Littoral;SML;6;Sciences humaines et humanités;2023;2022-23;2022;2022;5;4;1;12;11;1;2;2;0;0;0;1;1;Smen6
598;École doctorale Sciences de La Mer et du Littoral;SML;10;Sciences agronomiques et écologiques;2023;2022-23;2022;2022;16;6;10;64;31;33;11;7;4;2;8;1;0;Smen6
600;École doctorale Écologie, Géosciences, Agronomie et Alimentation;EGAAL;3;Sciences de la terre et de l'univers, espace;2023;2022-23;2022;2022;25;15;10;84;42;42;19;7;12;14;5;0;0;urS33
602;École doctorale Sciences pour l'Ingénieur;SPI;9;Sciences et technologies de l'information et de la communication;2023;2022-23;2022;2022;13;5;8;29;10;19;0;0;0;0;0;0;0;8yWbu
608;École doctorale Sciences et Ingénierie des Molécules, des Produits, des Procédés et de l'Énergie;SIMPPÉ;4;Chimie;2023;2022-23;2022;2022;2;1;1;10;7;3;2;0;2;1;1;0;0;TyNjM
610;École doctorale Sciences et Ingénierie des Systèmes, Mathématiques, Informatique;SISMI;2;Physique;2023;2022-23;2022;2022;0;0;0;0;0;0;1;0;1;0;1;0;0;dBCUB
613;École doctorale Sciences de la Société, Territoires, Sciences Economiques et de Gestion;SSTSEG;6;Sciences humaines et humanités;2023;2022-23;2022;2022;0;0;0;0;0;0;8;4;4;0;2;1;5;6eLRF
614;École doctorale Chimie, Écologie, Géosciences, Agrosciences - Théodore Monod;CEGA;10;Sciences agronomiques et écologiques;2023;2022-23;2022;2022;0;0;0;0;0;0;5;2;3;2;3;0;0;uc10I
617;École doctorale Sciences de la Société : Territoires, Economie et Droit;SSTED;6;Sciences humaines et humanités;2023;2022-23;2022;2022;6;3;3;62;29;33;5;3;2;1;0;2;2;Kl9ZX
619;École doctorale Sciences Fondamentales et Santé;SFS;4;Chimie;2023;2022-23;2022;2022;4;0;4;14;1;13;6;3;3;3;3;0;0;JiZVW
620;École doctorale Sciences du Numérique et de l'Ingénieur;SNI;4;Chimie;2023;2022-23;2022;2022;1;1;0;1;1;0;0;0;0;0;0;0;0;Dr40w
620;École doctorale Sciences du Numérique et de l'Ingénieur;SNI;5;Biologie, médecine et santé;2023;2022-23;2022;2022;0;0;0;1;0;1;1;1;0;0;0;1;0;Dr40w
621;École doctorale Ingénierie des Systèmes, Matériaux, Mécanique, Énergétique;ISMME;8;Sciences pour l'ingénieur;2023;2022-23;2022;2022;66;20;46;237;63;174;57;17;40;26;28;3;0;B2549
